climate,image_file,image_path,rank_in_image,hex,r,g,b,hue_deg,hue_bucket,sat_pct,val_pct,lightness_pct,temp_bin,is_neutral_low_sat,percent_in_image,pixel_count
finland_nature_clean,images (5).jpeg,/Users/isabellaprimo/Downloads/TopColor-master/nature finland /images (5).jpeg,2,#7485A4,116,133,164,218.75,cyan-blue,29.27,64.31,54.9,cool,False,35.3048,17747
finland_nature_clean,images (5).jpeg,/Users/isabellaprimo/Downloads/TopColor-master/nature finland /images (5).jpeg,3,#756B3C,117,107,60,49.47,yellow,48.72,45.88,34.71,warm,False,15.2841,7683
finland_nature_clean,images (6).jpeg,/Users/isabellaprimo/Downloads/TopColor-master/nature finland /images (6).jpeg,1,#434B58,67,75,88,217.14,cyan-blue,23.86,34.51,30.39,cool,False,45.1883,22741
finland_nature_clean,images (6).jpeg,/Users/isabellaprimo/Downloads/TopColor-master/nature finland /images (6).jpeg,2,#C7C4BF,199,196,191,37.5,orange,4.02,78.04,76.47,neutral,True,35.8251,18029
finland_nature_clean,images (6).jpeg,/Users/isabellaprimo/Downloads/TopColor-master/nature finland /images (6).jpeg,3,#97C4F6,151,196,246,211.58,cyan-blue,38.62,96.47,77.84,cool,False,18.9866,9555
finland_nature_clean,metsa-1-6-1030x553.jpg,/Users/isabellaprimo/Downloads/TopColor-master/nature finland /metsa-1-6-1030x553.jpg,1,#8A8B86,138,139,134,72.0,yellow,3.6,54.51,53.53,neutral,True,36.0656,71940
finland_nature_clean,metsa-1-6-1030x553.jpg,/Users/isabellaprimo/Downloads/TopColor-master/nature finland /metsa-1-6-1030x553.jpg,2,#3E3F3A,62,63,58,72.0,yellow,7.94,24.71,23.73,neutral,True,33.6246,67071
finland_nature_clean,metsa-1-6-1030x553.jpg,/Users/isabellaprimo/Downloads/TopColor-master/nature finland /metsa-1-6-1030x553.jpg,3,#535322,83,83,34,60.0,yellow,59.04,32.55,22.94,warm,False,30.3098,60459
finland_nature_clean,mk150819-dji-peat-finland-bogs-0141.jpg,/Users/isabellaprimo/Downloads/TopColor-master/nature finland /mk150819-dji-peat-finland-bogs-0141.jpg,1,#453429,69,52,41,23.57,orange,40.58,27.06,21.57,warm,False,67.548,134888
finland_nature_clean,mk150819-dji-peat-finland-bogs-0141.jpg,/Users/isabellaprimo/Downloads/TopColor-master/nature finland /mk150819-dji-peat-finland-bogs-0141.jpg,2,#657345,101,115,69,78.26,yellow-green,40.0,45.1,36.08,warm,False,18.9602,37862
finland_nature_clean,mk150819-dji-peat-finland-bogs-0141.jpg,/Users/isabellaprimo/Downloads/TopColor-master/nature finland /mk150819-dji-peat-finland-bogs-0141.jpg,3,#A9BBC4,169,187,196,200.0,cyan-blue,13.78,76.86,71.57,cool,False,13.4918,26942
finland_nature_clean,nature10.jpg,/Users/isabellaprimo/Downloads/TopColor-master/nature finland /nature10.jpg,1,#44473D,68,71,61,78.0,yellow-green,14.08,27.84,25.88,warm,False,33.3973,49565
finland_nature_clean,nature10.jpg,/Users/isabellaprimo/Downloads/TopColor-master/nature finland /nature10.jpg,2,#1C1E21,28,30,33,216.0,cyan-blue,15.15,12.94,11.96,cool,False,25.2598,37488
finland_nature_clean,nature10.jpg,/Users/isabellaprimo/Downloads/TopColor-master/nature finland /nature10.jpg,3,#737377,115,115,119,240.0,blue,3.36,46.67,45.88,neutral,True,16.9631,25175
finland_nature_clean,nature10.jpg,/Users/isabellaprimo/Downloads/TopColor-master/nature finland /nature10.jpg,4,#C6E4FC,198,228,252,206.67,cyan-blue,21.43,98.82,88.24,cool,False,14.9148,22135
finland_nature_clean,nature10.jpg,/Users/isabellaprimo/Downloads/TopColor-master/nature finland /nature10.jpg,5,#233E81,35,62,129,222.77,cyan-blue,72.87,50.59,32.16,cool,False,9.465,14047
finland_nature_clean,nature6_b.jpg,/Users/isabellaprimo/Downloads/TopColor-master/nature finland /nature6_b.jpg,1,#4D3C29,77,60,41,31.67,orange,46.75,30.2,23.14,warm,False,53.2262,105300
finland_nature_clean,nature6_b.jpg,/Users/isabellaprimo/Downloads/TopColor-master/nature finland /nature6_b.jpg,2,#858738,133,135,56,61.52,yellow,58.52,52.94,37.45,warm,False,46.7738,92535
finland_nature_clean,nature9.jpg,/Users/isabellaprimo/Downloads/TopColor-master/nature finland /nature9.jpg,1,#95A3AE,149,163,174,206.4,cyan-blue,14.37,68.24,63.33,cool,False,38.1913,55511
finland_nature_clean,nature9.jpg,/Users/isabellaprimo/Downloads/TopColor-master/nature finland /nature9.jpg,2,#112D3D,17,45,61,201.82,cyan-blue,72.13,23.92,15.29,cool,False,31.526,45823
finland_nature_clean,nature9.jpg,/Users/isabellaprimo/Downloads/TopColor-master/nature finland /nature9.jpg,3,#106EB4,16,110,180,205.61,cyan-blue,91.11,70.59,38.43,cool,False,17.8177,25898
finland_nature_clean,nature9.jpg,/Users/isabellaprimo/Downloads/TopColor-master/nature finland /nature9.jpg,4,#639CCA,99,156,202,206.8,cyan-blue,50.99,79.22,59.02,cool,False,12.4651,18118
finland_nature_clean,p0jq33ky.jpg.webp,/Users/isabellaprimo/Downloads/TopColor-master/nature finland /p0jq33ky.jpg.webp,1,#6D625C,109,98,92,21.18,orange,15.6,42.75,39.41,warm,False,65.8966,85402
finland_nature_clean,p0jq33ky.jpg.webp,/Users/isabellaprimo/Downloads/TopColor-master/nature finland /p0jq33ky.jpg.webp,2,#CEE4F5,206,228,245,206.15,cyan-blue,15.92,96.08,88.43,cool,False,34.1034,44198
finland_nature_clean,pexels-jan-kroon-1000057.jpg,/Users/isabellaprimo/Downloads/TopColor-master/nature finland /pexels-jan-kroon-1000057.jpg,1,#50483F,80,72,63,31.76,orange,21.25,31.37,28.04,warm,False,63.1094,126001
finland_nature_clean,pexels-jan-kroon-1000057.jpg,/Users/isabellaprimo/Downloads/TopColor-master/nature finland /pexels-jan-kroon-1000057.jpg,2,#E9F7FC,233,247,252,195.79,cyan-blue,7.54,98.82,95.1,neutral,True,36.8906,73654
finland_nature_clean,rukatunturiwinter-finnishlapland.jpg,/Users/isabellaprimo/Downloads/TopColor-master/nature finland /rukatunturiwinter-finnishlapland.jpg,1,#8FA2BC,143,162,188,214.67,cyan-blue,23.94,73.73,64.9,cool,False,100.0,199660
finland_nature_clean,this_is_finland_tuusulanjarvi_-300dpi_srgb-_mg_7331-0005_-c-sami_heiskanen-700x467.jpg,/Users/isabellaprimo/Downloads/TopColor-master/nature finland /this_is_finland_tuusulanjarvi_-300dpi_srgb-_mg_7331-0005_-c-sami_heiskanen-700x467.jpg,1,#A1A8B6,161,168,182,220.0,cyan-blue,11.54,71.37,67.25,neutral,True,100.0,199655
finland_nature_clean,winter2-710x375.jpg,/Users/isabellaprimo/Downloads/TopColor-master/nature finland /winter2-710x375.jpg,1,#9EAAEC,158,170,236,230.77,blue,33.05,92.55,77.25,cool,False,81.8802,163658
finland_nature_clean,winter2-710x375.jpg,/Users/isabellaprimo/Downloads/TopColor-master/nature finland /winter2-710x375.jpg,2,#B49AD4,180,154,212,266.9,blue-purple,27.36,83.14,71.76,cool,False,18.1198,36217
finland_nature_clean,zdsc00613-2560x1440.jpeg,/Users/isabellaprimo/Downloads/TopColor-master/nature finland /zdsc00613-2560x1440.jpeg,1,#493C36,73,60,54,18.95,orange,26.03,28.63,24.9,warm,False,72.7136,145180
finland_nature_clean,zdsc00613-2560x1440.jpeg,/Users/isabellaprimo/Downloads/TopColor-master/nature finland /zdsc00613-2560x1440.jpeg,2,#D9E5EF,217,229,239,207.27,cyan-blue,9.21,93.73,89.41,neutral,True,27.2864,54480
